rf_power_W,pressure_Pa,substrate_temp_C,ar_flow_sccm,target_substrate_distance_mm,deposition_rate_nm_per_min,refractive_index,surface_roughness_Ra_nm,film_stress_MPa
178,1.03,234,38.8,47,15.03,1.4552,1.27,-131.1
252,1.84,266,29.6,83,12.08,1.4533,2.34,-137.3
208,1.92,77,10.7,42,8.92,1.4353,2.47,-211.6
115,0.45,393,32.0,60,9.69,1.4743,0.3,-61.4
258,1.65,258,45.9,45,19.76,1.4558,2.14,-143.3
223,0.98,80,44.4,106,11.51,1.4342,1.89,-221.5
229,0.19,226,45.6,97,17.53,1.4609,0.64,-194.3
86,1.52,86,14.2,115,0.5,1.4296,1.85,-120.3
70,1.41,342,43.6,104,0.5,1.4508,1.26,-28.2
264,1.9,272,20.0,112,5.76,1.4429,2.66,-155.1
197,0.63,84,13.6,92,11.61,1.4485,1.49,-241.1
143,1.13,247,49.4,49,11.97,1.4566,1.13,-76.4
200,0.59,380,35.2,56,17.59,1.4742,0.48,-112.1
98,1.04,220,17.8,63,2.65,1.4461,0.95,-98.3
112,0.88,300,24.2,108,0.5,1.4513,1.04,-101.5
93,0.55,54,24.6,45,7.3,1.4427,0.76,-155.6
115,0.4,174,25.0,78,5.62,1.4411,0.69,-157.8
158,1.94,103,46.3,48,9.64,1.4284,2.21,-151.9
151,1.88,160,11.4,58,4.65,1.4391,2.07,-146.4
232,0.44,317,46.0,67,20.91,1.4743,0.8,-157.4
203,0.29,167,30.8,54,17.93,1.4566,0.83,-204.5
263,0.25,294,39.0,96,19.88,1.4673,0.87,-184.2
270,0.64,253,26.7,57,21.83,1.4622,1.17,-187.0
155,1.96,147,18.6,66,3.2,1.4353,2.17,-153.7
299,1.0,211,44.2,87,21.86,1.4555,1.79,-163.9
128,0.68,376,26.0,93,5.97,1.4651,0.53,-64.8
64,0.14,273,11.1,61,4.0,1.4573,0.1,-85.4
275,1.53,95,8.0,72,13.64,1.4432,2.5,-263.1
170,1.61,96,21.8,87,4.96,1.4299,2.07,-173.0
222,1.99,370,12.3,119,1.75,1.4519,2.34,-66.8
55,0.26,190,28.1,80,2.37,1.4466,0.35,-154.2
60,1.77,336,13.2,89,0.5,1.4486,1.37,1.1
187,0.74,137,37.2,103,8.95,1.443,1.36,-190.5
97,1.59,153,41.6,63,2.67,1.4345,1.64,-87.3
230,0.57,268,47.3,85,19.07,1.4605,1.12,-159.2
254,1.54,197,31.7,51,18.1,1.451,1.87,-160.3
156,1.44,232,20.8,40,8.53,1.4507,1.49,-120.3
243,1.81,280,43.1,112,8.64,1.4516,2.54,-134.4
156,1.74,200,37.3,116,0.77,1.4362,2.17,-111.2
291,1.01,134,35.8,119,15.58,1.4476,2.15,-262.6
292,1.67,106,19.5,63,19.63,1.4405,2.62,-211.4
253,0.28,262,32.8,91,19.48,1.4647,1.04,-198.4
268,0.49,397,41.9,75,24.29,1.4861,0.6,-156.7
199,1.72,329,38.3,55,11.4,1.4597,1.69,-87.0
74,0.91,56,16.1,59,0.84,1.4378,1.0,-180.4
180,1.7,216,39.5,61,10.17,1.4468,1.94,-133.0
245,1.29,219,36.6,97,12.24,1.4487,1.94,-139.8
226,0.99,332,35.0,51,18.68,1.4625,0.98,-113.5
72,0.14,125,9.9,71,4.07,1.4448,0.29,-207.7
278,1.28,350,26.6,110,14.06,1.4663,1.89,-117.0
297,1.44,324,22.9,94,15.26,1.463,2.0,-154.0
195,0.39,205,25.7,43,16.78,1.459,0.73,-173.7
68,0.42,128,21.2,120,0.5,1.4457,0.98,-167.7
140,1.93,160,10.5,87,0.5,1.4356,2.18,-133.0
193,0.15,182,19.3,56,17.42,1.458,0.69,-220.6
55,1.41,59,9.0,80,0.5,1.4297,1.65,-139.4
277,0.24,213,11.8,68,23.21,1.4655,0.94,-260.6
121,0.81,388,48.0,117,4.48,1.46,0.96,-68.3
273,1.43,88,27.5,91,15.26,1.444,2.45,-269.2
50,1.4,334,30.2,67,0.5,1.4496,0.81,5.1
259,1.82,203,19.7,62,13.42,1.4427,2.6,-161.1
113,1.36,288,46.9,99,1.28,1.4496,1.62,-59.7
123,1.48,34,36.2,103,0.5,1.4172,1.98,-129.6
210,0.31,284,8.7,70,15.68,1.4648,0.76,-168.3
189,0.46,26,33.3,57,16.2,1.4419,1.17,-239.0
296,1.09,346,45.4,73,22.06,1.4706,1.4,-117.8
188,0.48,367,6.2,66,14.14,1.4732,0.59,-131.7
134,1.34,92,31.4,102,1.03,1.4228,1.86,-215.3
171,1.78,72,13.8,79,4.4,1.4311,2.4,-181.6
119,0.77,90,14.9,109,1.59,1.4411,1.3,-185.5
215,0.35,52,30.6,74,18.84,1.445,1.42,-265.2
236,0.75,340,28.7,78,17.04,1.4658,1.06,-145.7
81,0.9,122,45.1,90,0.5,1.432,1.18,-142.2
192,0.22,166,44.8,107,12.72,1.453,0.87,-164.0
96,1.87,373,25.4,60,0.5,1.4494,1.32,-2.8
130,1.51,389,22.7,101,0.5,1.4598,1.47,-54.4
255,0.72,216,13.5,111,13.95,1.4575,1.42,-204.3
77,0.52,325,41.1,114,0.5,1.457,0.66,-76.7
249,1.98,239,32.6,101,9.64,1.4528,2.6,-168.6
61,0.3,64,21.2,96,0.5,1.4394,0.73,-199.4
266,1.27,101,33.7,105,13.73,1.4424,2.25,-191.0
284,1.69,353,40.8,64,17.15,1.4663,2.03,-132.2
141,0.2,242,26.2,93,8.42,1.4581,0.8,-133.7
185,1.38,239,16.8,44,13.89,1.4559,1.52,-146.8
88,1.14,62,8.5,117,0.5,1.4257,1.61,-174.9
257,1.95,301,47.7,84,12.79,1.4591,2.41,-118.8
138,1.32,38,22.2,69,6.38,1.4254,1.82,-196.4
100,0.46,72,8.3,118,0.5,1.4388,0.98,-157.7
133,0.87,356,42.3,74,9.2,1.4594,0.69,-79.0
59,1.0,172,41.7,115,0.5,1.435,1.29,-93.7
91,0.79,349,22.0,52,6.39,1.4673,0.5,-83.3
207,1.47,111,24.5,90,8.18,1.44,2.21,-225.0
109,0.36,180,12.5,116,0.5,1.4438,0.71,-194.9
78,0.85,226,7.6,105,0.5,1.4483,0.98,-136.6
206,1.07,46,23.3,108,8.11,1.4339,1.93,-248.3
186,1.54,99,31.3,69,8.92,1.4345,2.01,-174.1
63,1.33,291,18.8,94,0.5,1.4478,1.28,-66.5
173,0.95,45,37.7,54,13.71,1.4391,1.34,-208.0
236,0.84,257,33.4,49,19.79,1.4622,1.36,-169.2
198,1.98,128,46.5,98,5.85,1.4351,2.69,-129.1
261,0.68,59,22.5,111,13.81,1.4409,1.85,-278.6
168,1.16,298,34.3,116,3.05,1.4554,1.48,-128.8
66,0.33,108,49.9,40,8.0,1.4407,0.25,-128.6
220,1.06,243,29.4,95,11.81,1.4588,1.46,-145.0
162,0.69,319,42.5,59,13.8,1.4651,0.78,-94.2
176,0.5,355,46.8,83,12.97,1.4659,0.73,-153.0
131,0.1,309,49.6,62,12.34,1.4669,0.1,-110.4
247,0.6,306,49.3,109,15.16,1.4697,1.09,-164.3
81,0.66,270,17.8,58,3.81,1.4556,0.47,-128.5
76,0.35,195,39.7,108,0.5,1.4446,0.61,-130.1
279,1.03,38,29.2,93,16.46,1.4392,2.33,-313.5
83,1.58,105,26.9,106,0.5,1.4284,1.85,-143.6
290,1.66,41,9.3,78,12.72,1.4379,2.87,-244.1
293,0.49,142,48.5,81,25.28,1.4514,1.4,-246.5
174,1.15,178,7.2,104,4.03,1.4434,1.75,-187.3
209,1.24,210,6.0,102,5.87,1.4463,1.85,-184.9
274,1.45,186,12.8,65,16.32,1.4518,2.21,-211.9
271,0.37,236,23.2,71,20.03,1.4612,0.94,-206.7
148,1.56,134,7.8,70,2.93,1.4377,1.81,-146.4
135,1.63,49,32.0,95,0.5,1.4252,2.12,-151.5
248,1.83,392,38.4,65,13.0,1.4642,1.84,-76.4
167,0.11,157,6.8,50,13.1,1.4537,0.36,-209.1
235,1.09,260,20.6,71,14.21,1.4585,1.53,-168.0
125,0.38,190,15.2,82,6.78,1.4581,0.65,-191.5
153,1.91,123,5.7,99,0.5,1.4309,2.41,-151.4
124,1.75,359,43.0,60,4.37,1.4527,1.21,-19.1
281,1.31,78,48.7,82,18.45,1.4405,2.47,-221.4
103,1.8,251,38.7,73,1.58,1.4413,1.62,-47.4
240,0.58,81,18.5,43,20.2,1.4514,1.24,-253.4
286,0.17,276,10.4,88,21.85,1.4709,0.86,-243.1
216,1.23,193,29.0,89,9.41,1.447,1.71,-139.4
282,0.31,150,25.2,41,27.88,1.4591,0.97,-279.9
87,0.42,35,40.4,83,3.29,1.4426,1.06,-190.8
85,1.3,287,15.0,114,0.5,1.4477,1.28,-95.9
127,1.24,94,23.8,42,8.19,1.4383,1.55,-130.6
181,1.62,311,18.1,77,6.55,1.455,1.75,-64.3
106,0.54,75,5.1,94,0.79,1.4421,0.91,-190.1
144,1.97,155,28.2,52,6.05,1.4347,2.05,-97.9
58,0.2,199,34.1,106,0.5,1.4466,0.36,-139.3
221,1.57,347,43.7,55,14.95,1.4575,1.71,-100.1
92,1.18,249,23.9,52,4.3,1.4464,0.94,-89.6
105,0.93,223,16.6,62,4.08,1.4502,0.87,-159.2
161,0.53,312,10.2,86,6.49,1.4583,0.79,-134.5
66,1.35,291,5.3,110,0.5,1.4434,1.37,-95.3
182,1.07,50,6.6,77,8.99,1.4373,1.61,-233.1
202,0.61,43,43.3,74,14.05,1.4427,1.35,-263.7
230,0.87,162,16.4,79,14.52,1.4493,1.56,-239.8
141,0.79,308,40.6,75,10.5,1.4601,0.75,-68.6
146,1.6,330,9.2,98,0.5,1.4489,1.61,-69.7
272,1.21,148,35.4,41,22.85,1.4509,1.9,-196.4
57,0.94,229,49.0,86,0.5,1.4441,0.88,-51.3
108,1.61,384,32.3,76,1.26,1.4496,1.2,-47.3
239,0.18,67,9.6,54,22.06,1.4546,0.8,-322.9
95,1.68,168,7.5,99,0.5,1.4331,1.75,-94.4
242,1.85,383,33.0,42,13.76,1.4646,1.8,-50.7
